Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_003437825.1	ASM343782v1	Bifidobacterium pseudocatenulatum		TF05-2AC					GCF_003437825.1-RS_2024_09_17	Scaffold	2018-08-31	QSSK01	6	98.45	
GCA_003465135.1	ASM346513v1	Bifidobacterium pseudocatenulatum		AF11-18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAP01	9	99.43	0.41
GCF_003465135.1	ASM346513v1	Bifidobacterium pseudocatenulatum		AF11-18					GCF_003465135.1-RS_2024_09_17	Scaffold	2018-09-06	QSAP01	9	99.43	0.41
GCA_003436025.1	ASM343602v1	Bifidobacterium pseudocatenulatum		TM10-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSOG01	11	98.94	0.16
GCF_003436025.1	ASM343602v1	Bifidobacterium pseudocatenulatum		TM10-1					GCF_003436025.1-RS_2024_09_17	Scaffold	2018-08-31	QSOG01	11	98.94	0.16
GCA_003470125.1	ASM347012v1	Bifidobacterium pseudocatenulatum		AM26-14LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSLD01	13	98.94	0.41
GCF_003470125.1	ASM347012v1	Bifidobacterium pseudocatenulatum		AM26-14LB					GCF_003470125.1-RS_2024_09_17	Scaffold	2018-09-06	QSLD01	13	98.94	0.41
GCA_003460425.1	ASM346042v1	Bifidobacterium pseudocatenulatum		AF17-20AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRXU01	16	99.43	
GCF_003460425.1	ASM346042v1	Bifidobacterium pseudocatenulatum		AF17-20AC					GCF_003460425.1-RS_2024_09_17	Scaffold	2018-09-05	QRXU01	16	99.43	
GCA_003459475.1	ASM345947v1	Bifidobacterium pseudocatenulatum		AF20-20AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRWB01	11	98.94	0.16
GCF_003459475.1	ASM345947v1	Bifidobacterium pseudocatenulatum		AF20-20AC					GCF_003459475.1-RS_2024_09_17	Scaffold	2018-09-05	QRWB01	11	98.94	0.16
GCA_003467065.1	ASM346706v1	Bifidobacterium pseudocatenulatum		AM43-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSFQ01	7	99.43	0.16
GCF_003467065.1	ASM346706v1	Bifidobacterium pseudocatenulatum		AM43-10					GCF_003467065.1-RS_2024_09_17	Scaffold	2018-09-06	QSFQ01	7	99.43	0.16
GCA_003471415.1	ASM347141v1	Bifidobacterium pseudocatenulatum		AM20-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJB01	13	99.43	0.65
GCF_003471415.1	ASM347141v1	Bifidobacterium pseudocatenulatum		AM20-1					GCF_003471415.1-RS_2024_09_17	Scaffold	2018-09-06	QRJB01	13	99.43	0.65
GCA_003463425.1	ASM346342v1	Bifidobacterium pseudocatenulatum		OF01-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSCX01	18	98.45	0.16
GCF_003463425.1	ASM346342v1	Bifidobacterium pseudocatenulatum		OF01-8					GCF_003463425.1-RS_2024_09_17	Scaffold	2018-09-06	QSCX01	18	98.45	0.16
GCA_003472415.1	ASM347241v1	Bifidobacterium pseudocatenulatum		AM11-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLX01	18	98.94	0.16
GCF_003472415.1	ASM347241v1	Bifidobacterium pseudocatenulatum		AM11-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLX01	18	98.94	0.16
GCA_003436955.1	ASM343695v1	Bifidobacterium pseudocatenulatum		TF08-3AT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRI01	14	99.92	0.65
GCF_003436955.1	ASM343695v1	Bifidobacterium pseudocatenulatum		TF08-3AT					GCF_003436955.1-RS_2024_09_17	Scaffold	2018-08-31	QSRI01	14	99.92	0.65
GCA_003472575.1	ASM347257v1	Bifidobacterium pseudocatenulatum		AM10-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMF01	13	98.94	0.65
GCF_003472575.1	ASM347257v1	Bifidobacterium pseudocatenulatum		AM10-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMF01	13	98.94	0.65
GCA_003458965.1	ASM345896v1	Bifidobacterium pseudocatenulatum		AF26-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTZ01	11	98.94	
GCF_003458965.1	ASM345896v1	Bifidobacterium pseudocatenulatum		AF26-1					GCF_003458965.1-RS_2024_09_17	Scaffold	2018-09-05	QRTZ01	11	98.94	
GCA_003471505.1	ASM347150v1	Bifidobacterium pseudocatenulatum		AM18-42					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJG01	9	99.43	0.16
GCF_003471505.1	ASM347150v1	Bifidobacterium pseudocatenulatum		AM18-42					GCF_003471505.1-RS_2024_09_17	Scaffold	2018-09-06	QRJG01	9	99.43	0.16
GCA_003467515.1	ASM346751v1	Bifidobacterium pseudocatenulatum		AM38-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHB01	12	99.43	0.9
GCF_003467515.1	ASM346751v1	Bifidobacterium pseudocatenulatum		AM38-8					GCF_003467515.1-RS_2024_09_17	Scaffold	2018-09-06	QSHB01	12	99.43	0.9
GCA_003439655.1	ASM343965v1	Bifidobacterium pseudocatenulatum		OF05-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSWD01	13	99.26	
GCF_003439655.1	ASM343965v1	Bifidobacterium pseudocatenulatum		OF05-12					GCF_003439655.1-RS_2024_09_17	Scaffold	2018-08-31	QSWD01	13	99.26	
GCA_003437155.1	ASM343715v1	Bifidobacterium pseudocatenulatum		TF07-23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRR01	19	98.77	0.16
GCF_003437155.1	ASM343715v1	Bifidobacterium pseudocatenulatum		TF07-23					GCF_003437155.1-RS_2024_09_17	Scaffold	2018-08-31	QSRR01	19	98.77	0.16
GCA_003473115.1	ASM347311v1	Bifidobacterium pseudocatenulatum		AM13-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLG01	14	99.43	0.16
GCF_003473115.1	ASM347311v1	Bifidobacterium pseudocatenulatum		AM13-2					GCF_003473115.1-RS_2024_09_17	Scaffold	2018-09-06	QRLG01	14	99.43	0.16
GCA_003464925.1	ASM346492v1	Bifidobacterium pseudocatenulatum		AF12-8LB-d					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAC01	14	98.94	0.41
GCF_003464925.1	ASM346492v1	Bifidobacterium pseudocatenulatum		AF12-8LB-d					GCF_003464925.1-RS_2024_09_17	Scaffold	2018-09-06	QSAC01	14	98.94	0.41
GCA_003471295.1	ASM347129v1	Bifidobacterium pseudocatenulatum		AM20-9-6.0					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRIU01	18	98.94	0.41
GCF_003471295.1	ASM347129v1	Bifidobacterium pseudocatenulatum		AM20-9-6.0					GCF_003471295.1-RS_2024_09_17	Scaffold	2018-09-06	QRIU01	18	98.94	0.41
GCA_003465775.1	ASM346577v1	Bifidobacterium pseudocatenulatum		AF03-28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBP01	18	99.43	0.65
GCF_003465775.1	ASM346577v1	Bifidobacterium pseudocatenulatum		AF03-28					GCF_003465775.1-RS_2024_09_17	Scaffold	2018-09-06	QSBP01	18	99.43	0.65
GCA_003472545.1	ASM347254v1	Bifidobacterium pseudocatenulatum		AM10-24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMD01	16	98.94	0.65
GCF_003472545.1	ASM347254v1	Bifidobacterium pseudocatenulatum		AM10-24					GCF_003472545.1-RS_2024_09_17	Scaffold	2018-09-06	QRMD01	16	98.94	0.65
GCA_003463505.1	ASM346350v1	Bifidobacterium pseudocatenulatum		OF01-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSDF01	15	98.45	0.16
GCF_003463505.1	ASM346350v1	Bifidobacterium pseudocatenulatum		OF01-12					GCF_003463505.1-RS_2024_09_17	Scaffold	2018-09-06	QSDF01	15	98.45	0.16
GCA_003436315.1	ASM343631v1	Bifidobacterium pseudocatenulatum		TM07-3AT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSOT01	10	99.26	0.16
GCF_003436315.1	ASM343631v1	Bifidobacterium pseudocatenulatum		TM07-3AT					GCF_003436315.1-RS_2024_09_17	Scaffold	2018-08-31	QSOT01	10	99.26	0.16
GCA_003467785.1	ASM346778v1	Bifidobacterium pseudocatenulatum		AM36-2AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHV01	17	98.2	0.41
GCF_003467785.1	ASM346778v1	Bifidobacterium pseudocatenulatum		AM36-2AC					GCF_003467785.1-RS_2024_09_17	Scaffold	2018-09-06	QSHV01	17	98.2	0.41
GCA_003438405.1	ASM343840v1	Bifidobacterium pseudocatenulatum		OM05-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSUK01	16	98.94	0.16
GCF_003438405.1	ASM343840v1	Bifidobacterium pseudocatenulatum		OM05-2					GCF_003438405.1-RS_2024_09_17	Scaffold	2018-08-31	QSUK01	16	98.94	0.16
GCA_003437835.1	ASM343783v1	Bifidobacterium pseudocatenulatum		TF05-19AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSSM01	13	98.94	0.16
GCF_003437835.1	ASM343783v1	Bifidobacterium pseudocatenulatum		TF05-19AC					GCF_003437835.1-RS_2024_09_17	Scaffold	2018-08-31	QSSM01	13	98.94	0.16
GCA_003473025.1	ASM347302v1	Bifidobacterium pseudocatenulatum		AM13-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLC01	16	99.43	0.16
GCF_003473025.1	ASM347302v1	Bifidobacterium pseudocatenulatum		AM13-8					GCF_003473025.1-RS_2024_09_17	Scaffold	2018-09-06	QRLC01	16	99.43	0.16
GCA_003468555.1	ASM346855v1	Bifidobacterium pseudocatenulatum		AM33-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSIM01	13	99.43	0.16
GCF_003468555.1	ASM346855v1	Bifidobacterium pseudocatenulatum		AM33-6					GCF_003468555.1-RS_2024_09_17	Scaffold	2018-09-06	QSIM01	13	99.43	0.16
GCA_003437075.1	ASM343707v1	Bifidobacterium pseudocatenulatum		TF07-45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRN01	17	98.77	0.16
GCF_003437075.1	ASM343707v1	Bifidobacterium pseudocatenulatum		TF07-45					GCF_003437075.1-RS_2024_09_17	Scaffold	2018-08-31	QSRN01	17	98.77	0.16
GCA_003466105.1	ASM346610v1	Bifidobacterium pseudocatenulatum		AF02-36-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBW01	16	99.18	0.16
GCF_003466105.1	ASM346610v1	Bifidobacterium pseudocatenulatum		AF02-36-1					GCF_003466105.1-RS_2024_09_17	Scaffold	2018-09-06	QSBW01	16	99.18	0.16
GCA_003471325.1	ASM347132v1	Bifidobacterium pseudocatenulatum		AM20-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRIV01	13	99.43	0.65
GCF_003471325.1	ASM347132v1	Bifidobacterium pseudocatenulatum		AM20-6					GCF_003471325.1-RS_2024_09_17	Scaffold	2018-09-06	QRIV01	13	99.43	0.65
GCA_003465385.1	ASM346538v1	Bifidobacterium pseudocatenulatum		AF12-8A-LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAD01	16	99.1	0.41
GCF_003465385.1	ASM346538v1	Bifidobacterium pseudocatenulatum		AF12-8A-LB					GCF_003465385.1-RS_2024_09_17	Scaffold	2018-09-06	QSAD01	16	99.1	0.41
GCA_003436545.1	ASM343654v1	Bifidobacterium pseudocatenulatum		TM04-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQA01	15	98.45	0.16
GCF_003436545.1	ASM343654v1	Bifidobacterium pseudocatenulatum		TM04-13					GCF_003436545.1-RS_2024_09_17	Scaffold	2018-08-31	QSQA01	15	98.45	0.16
GCA_003472685.1	ASM347268v1	Bifidobacterium pseudocatenulatum		AM08-25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMQ01	21	98.94	0.16
GCF_003472685.1	ASM347268v1	Bifidobacterium pseudocatenulatum		AM08-25					GCF_003472685.1-RS_2024_09_17	Scaffold	2018-09-06	QRMQ01	21	98.94	0.16
GCA_003474835.1	ASM347483v1	Bifidobacterium pseudocatenulatum		AF36-12AT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRPH01	18	98.94	0.25
GCF_003474835.1	ASM347483v1	Bifidobacterium pseudocatenulatum		AF36-12AT					GCF_003474835.1-RS_2024_09_18	Scaffold	2018-09-06	QRPH01	18	98.94	0.25
GCA_003465065.1	ASM346506v1	Bifidobacterium pseudocatenulatum		AF12-10-6.0					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAK01	16	99.43	0.41
GCF_003465065.1	ASM346506v1	Bifidobacterium pseudocatenulatum		AF12-10-6.0					GCF_003465065.1-RS_2024_09_17	Scaffold	2018-09-06	QSAK01	16	99.43	0.41
GCA_003467755.1	ASM346775v1	Bifidobacterium pseudocatenulatum		AM36-5BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHR01	18	99.18	0.41
GCF_003467755.1	ASM346775v1	Bifidobacterium pseudocatenulatum		AM36-5BH					GCF_003467755.1-RS_2024_09_17	Scaffold	2018-09-06	QSHR01	18	99.18	0.41
GCA_003472725.1	ASM347272v1	Bifidobacterium pseudocatenulatum		AM08-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMR01	24	99.43	0.16
GCF_003472725.1	ASM347272v1	Bifidobacterium pseudocatenulatum		AM08-2					GCF_003472725.1-RS_2024_09_17	Scaffold	2018-09-06	QRMR01	24	99.43	0.16
GCA_003437435.1	ASM343743v1	Bifidobacterium pseudocatenulatum		TM05-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSPS01	22	98.94	0.16
GCF_003437435.1	ASM343743v1	Bifidobacterium pseudocatenulatum		TM05-11					GCF_003437435.1-RS_2024_09_17	Scaffold	2018-08-31	QSPS01	22	98.94	0.16
GCA_003463455.1	ASM346345v1	Bifidobacterium pseudocatenulatum		OF01-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSDA01	20	98.45	0.16
GCF_003463455.1	ASM346345v1	Bifidobacterium pseudocatenulatum		OF01-2					GCF_003463455.1-RS_2024_09_17	Scaffold	2018-09-06	QSDA01	20	98.45	0.16
GCA_003433825.1	ASM343382v1	Lactococcus petauri		AM13-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVHV01	19	99.5	1.8
GCF_003433825.1	ASM343382v1	Lactococcus petauri		AM13-9					GCF_003433825.1-RS_2024_09_17	Scaffold	2018-08-31	QVHV01	19	99.5	1.8
GCA_003469745.1	ASM346974v1	Bacteroides xylanisolvens		AM26-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSLG01	83	97.34	1.3
GCF_003469745.1	ASM346974v1	Bacteroides xylanisolvens		AM26-1					GCF_003469745.1-RS_2024_09_17	Scaffold	2018-09-06	QSLG01	83	97.34	1.3
GCA_003436085.1	ASM343608v1	Bacteroides xylanisolvens		TM09-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSOM01	89	98.05	0.53
GCF_003436085.1	ASM343608v1	Bacteroides xylanisolvens		TM09-13					GCF_003436085.1-RS_2025_01_08	Scaffold	2018-08-31	QSOM01	89	98.05	0.53
GCA_003437545.1	ASM343754v1	Bacteroides xylanisolvens		TF10-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQU01	138	97.38	1.25
GCF_003437545.1	ASM343754v1	Bacteroides xylanisolvens		TF10-34					GCF_003437545.1-RS_2024_09_17	Scaffold	2018-08-31	QSQU01	138	97.38	1.25
GCA_003474645.1	ASM347464v1	Bacteroides xylanisolvens		AF38-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QROO01	142	97.03	3.68
GCF_003474645.1	ASM347464v1	Bacteroides xylanisolvens		AF38-2					GCF_003474645.1-RS_2024_12_18	Scaffold	2018-09-06	QROO01	142	97.03	3.68
GCA_003474245.1	ASM347424v1	Bacteroides xylanisolvens		AF39-6AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QROC01	98	98.12	1.78
GCF_003474245.1	ASM347424v1	Bacteroides xylanisolvens		AF39-6AC					GCF_003474245.1-RS_2024_12_17	Scaffold	2018-09-06	QROC01	98	98.12	1.78
GCA_003468875.1	ASM346887v1	Bacteroides xylanisolvens		AM30-47					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJK01	99	97.34	0.65
GCF_003468875.1	ASM346887v1	Bacteroides xylanisolvens		AM30-47					GCF_003468875.1-RS_2024_12_17	Scaffold	2018-09-06	QSJK01	99	97.34	0.65
GCA_003464445.1	ASM346444v1	Bacteroides xylanisolvens		AF14-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRYV01	159	97.95	1.01
GCF_003464445.1	ASM346444v1	Bacteroides xylanisolvens		AF14-7					GCF_003464445.1-RS_2024_12_18	Scaffold	2018-09-06	QRYV01	159	97.95	1.01
GCA_003469915.1	ASM346991v1	Streptococcus gordonii		AM27-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSKN01	11	99.9	
GCF_003469915.1	ASM346991v1	Streptococcus gordonii		AM27-4					GCF_003469915.1-RS_2024_09_17	Scaffold	2018-09-06	QSKN01	11	99.9	
GCA_003433685.1	ASM343368v1	Streptococcus gallolyticus		AM24-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVHT01	20	83.08	3.66
GCF_003433685.1	ASM343368v1	Streptococcus gallolyticus		AM24-4					GCF_003433685.1-RS_2024_11_06	Scaffold	2018-08-31	QVHT01	20	83.08	3.66
GCA_003434265.1	ASM343426v1	Streptococcus gallolyticus		TM07-4AT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVHX01	34	82.59	2.35
GCF_003434265.1	ASM343426v1	Streptococcus gallolyticus		TM07-4AT					GCF_003434265.1-RS_2024_11_06	Scaffold	2018-08-31	QVHX01	34	82.59	2.35
GCA_003457925.1	ASM345792v1	Bacteroides uniformis		AF28-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTH01	46	89.48	4.22
GCF_003457925.1	ASM345792v1	Bacteroides uniformis		AF28-11					GCF_003457925.1-RS_2024_09_17	Scaffold	2018-09-05	QRTH01	46	89.48	4.22
GCA_003436475.1	ASM343647v1	Bacteroides uniformis		TM04-30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSPV01	62	96.2	6.63
GCF_003436475.1	ASM343647v1	Bacteroides uniformis		TM04-30					GCF_003436475.1-RS_2024_09_17	Scaffold	2018-08-31	QSPV01	62	96.2	6.63
GCA_003467505.1	ASM346750v1	Bacteroides uniformis		AM39-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHA01	35	95.1	5.03
GCF_003467505.1	ASM346750v1	Bacteroides uniformis		AM39-1					GCF_003467505.1-RS_2024_09_17	Scaffold	2018-09-06	QSHA01	35	95.1	5.03
GCA_003472995.1	ASM347299v1	Bacteroides uniformis		AM14-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLB01	39	95.89	5.9
GCF_003472995.1	ASM347299v1	Bacteroides uniformis		AM14-1					GCF_003472995.1-RS_2024_09_17	Scaffold	2018-09-06	QRLB01	39	95.89	5.9
GCA_003471545.1	ASM347154v1	Bacteroides uniformis		AM18-14LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJL01	69	95.05	5.51
GCF_003471545.1	ASM347154v1	Bacteroides uniformis		AM18-14LB					GCF_003471545.1-RS_2024_09_17	Scaffold	2018-09-06	QRJL01	69	95.05	5.51
GCA_003439685.1	ASM343968v1	Bacteroides uniformis		OM04-14BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSUW01	38	94.66	5.92
GCF_003439685.1	ASM343968v1	Bacteroides uniformis		OM04-14BH					GCF_003439685.1-RS_2024_09_17	Scaffold	2018-08-31	QSUW01	38	94.66	5.92
GCA_003470495.1	ASM347049v1	Bacteroides uniformis		AM21-40					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRIQ01	54	94.77	3.69
GCF_003470495.1	ASM347049v1	Bacteroides uniformis		AM21-40					GCF_003470495.1-RS_2024_09_17	Scaffold	2018-09-06	QRIQ01	54	94.77	3.69
GCA_003437605.1	ASM343760v1	Bacteroides uniformis		TF09-22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRB01	46	95.5	6.92
GCF_003437605.1	ASM343760v1	Bacteroides uniformis		TF09-22					GCF_003437605.1-RS_2024_09_17	Scaffold	2018-08-31	QSRB01	46	95.5	6.92
GCA_003469025.1	ASM346902v1	Bacteroides uniformis		AM29-1AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJY01	51	95.45	9.36
GCF_003469025.1	ASM346902v1	Bacteroides uniformis		AM29-1AC					GCF_003469025.1-RS_2024_09_17	Scaffold	2018-09-06	QSJY01	51	95.45	9.36
GCA_003469465.1	ASM346946v1	Bacteroides uniformis		AM29-12AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJZ01	52	95.45	9.36
GCF_003469465.1	ASM346946v1	Bacteroides uniformis		AM29-12AC					GCF_003469465.1-RS_2024_09_17	Scaffold	2018-09-06	QSJZ01	52	95.45	9.36
GCA_003438205.1	ASM343820v1	Bacteroides uniformis		OM07-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSTL01	44	93.84	6.03
GCF_003438205.1	ASM343820v1	Bacteroides uniformis		OM07-9					GCF_003438205.1-RS_2024_09_17	Scaffold	2018-08-31	QSTL01	44	93.84	6.03
GCA_003463315.1	ASM346331v1	Bacteroides uniformis		OF04-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSCC01	53	93.51	5.02
GCF_003463315.1	ASM346331v1	Bacteroides uniformis		OF04-14					GCF_003463315.1-RS_2025_01_08	Scaffold	2018-09-06	QSCC01	53	93.51	5.02
GCA_003468865.1	ASM346886v1	Bacteroides uniformis		AM30-49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJJ01	41	95.1	8.66
GCF_003468865.1	ASM346886v1	Bacteroides uniformis		AM30-49					GCF_003468865.1-RS_2024_09_17	Scaffold	2018-09-06	QSJJ01	41	95.1	8.66
GCA_003475375.1	ASM347537v1	Bacteroides uniformis		AF32-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQG01	50	94.74	5.1
GCF_003475375.1	ASM347537v1	Bacteroides uniformis		AF32-17					GCF_003475375.1-RS_2025_01_08	Scaffold	2018-09-06	QRQG01	50	94.74	5.1
GCA_003439225.1	ASM343922v1	Bacteroides uniformis		OM03-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVA01	64	93.04	5.87
GCF_003439225.1	ASM343922v1	Bacteroides uniformis		OM03-4					GCF_003439225.1-RS_2024_12_17	Scaffold	2018-08-31	QSVA01	64	93.04	5.87
GCA_003437205.1	ASM343720v1	Bacteroides uniformis		TF07-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRU01	60	93.71	7.67
GCF_003437205.1	ASM343720v1	Bacteroides uniformis		TF07-2					GCF_003437205.1-RS_2024_09_17	Scaffold	2018-08-31	QSRU01	60	93.71	7.67
GCA_003459625.1	ASM345962v1	Bacteroides uniformis		AF19-23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRWL01	53	95.39	7.12
GCF_003459625.1	ASM345962v1	Bacteroides uniformis		AF19-23					GCF_003459625.1-RS_2024_09_17	Scaffold	2018-09-05	QRWL01	53	95.39	7.12
GCA_003438465.1	ASM343846v1	Bacteroides uniformis		OM05-12BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSUM01	40	96.12	7.57
GCF_003438465.1	ASM343846v1	Bacteroides uniformis		OM05-12BH					GCF_003438465.1-RS_2025_01_08	Scaffold	2018-08-31	QSUM01	40	96.12	7.57
GCA_003468755.1	ASM346875v1	Bacteroides uniformis		AM31-23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJC01	54	97.6	7.05
GCF_003468755.1	ASM346875v1	Bacteroides uniformis		AM31-23					GCF_003468755.1-RS_2025_01_08	Scaffold	2018-09-06	QSJC01	54	97.6	7.05
GCA_003438985.1	ASM343898v1	Bacteroides uniformis		OM05-11BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSUO01	47	96.12	6.38
GCF_003438985.1	ASM343898v1	Bacteroides uniformis		OM05-11BH					GCF_003438985.1-RS_2025_01_08	Scaffold	2018-08-31	QSUO01	47	96.12	6.38
GCA_003469415.1	ASM346941v1	Bacteroides uniformis		AM29-4LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJU01	60	90.79	3.67
GCF_003469415.1	ASM346941v1	Bacteroides uniformis		AM29-4LB					GCF_003469415.1-RS_2024_09_17	Scaffold	2018-09-06	QSJU01	60	90.79	3.67
GCA_003473285.1	ASM347328v1	Bacteroides uniformis		AM09-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMO01	47	94.35	4.31
GCF_003473285.1	ASM347328v1	Bacteroides uniformis		AM09-11					GCF_003473285.1-RS_2025_01_08	Scaffold	2018-09-06	QRMO01	47	94.35	4.31
